# YZ protector map, back (x < 0). Pixel = 0.05m. Value = thickness in mm (e.g. 0, 6, 12, 18, 24).
z\y	-0.4	-0.35	-0.3	-0.25	-0.2	-0.15	-0.1	-0.05	0.0	0.05	0.1	0.15	0.2	0.25	0.3	0.35	0.4
0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.75	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
0.8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
0.85	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
0.9	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
0.95	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
1.0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
